0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;totalRecognised;totalTested;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;
0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;80;
0;0;5;49;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;61;81;
0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;82;
0;0;42;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;82;
0;0;51;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;83;
0;0;54;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;88;
0;0;4;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;81;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;
0;0;0;43;0;8;18;0;0;0;15;0;0;0;0;0;0;0;0;0;0;8;0;92;121;
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;121;
0;0;0;0;0;0;0;0;0;0;0;0;31;7;0;0;0;0;0;0;0;0;0;38;120;
0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0;0;0;0;0;0;78;120;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;
0;0;56;0;1;3;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;120;
0;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;121;
0;0;14;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;44;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;
0;0;0;2;0;30;33;11;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;87;122;
0;0;0;64;0;3;6;0;0;0;13;0;0;0;0;0;0;0;0;0;0;13;0;99;123;
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30;
0;0;0,852378;0,9118123;0,9751152;0;0;0,7931035;0;0;0,9349594;1;1;0,9961133;0;0;0;0;0;0;0;0,9707792;0;= precision;
0;0;0,75;0,6049383;0,5609756;0;0;0,03409091;0;0;0,1239669;0,008264462;0,2583333;0,65;0;0;0;0;0;0;0;0,1056911;0;= recall;
